Deribit	1644412441773	261.28981500000003	56.10517500000001	246.86277	52.899165
Lyra	1644412448315	259	56	249	50
Deribit	1644412471715	260.898615	57.621779999999994	246.49317	52.819965
Lyra	1644412477818	265	54	255	48
Deribit	1644412501658	260.93203	56.02835	246.52473999999998	52.82673
Lyra	1644412505405	265	54	255	48
Deribit	1644412531619	261.06569	56.05705000000001	246.65102000000002	52.853790000000004
Lyra	1644412535365	265	54	255	48
Deribit	1644412561646	261.143115	56.07367500000001	246.72417	52.869465000000005
Lyra	1644412568006	265	54	255	48
Deribit	1644412591626	260.86357000000004	56.013650000000005	246.46006	52.812870000000004
Lyra	1644412595458	265	54	255	48
Deribit	1644412621639	257.244995	57.52062	246.06043	54.325030000000005
Lyra	1644412627945	265	54	255	48
Deribit	1644412651632	257.42129	57.56004	244.63017000000002	54.362260000000006
Lyra	1644412655399	265	54	255	48
Deribit	1644412681661	257.298125	57.5325	244.513125	54.33625000000001
Lyra	1644412688059	263	55	253	49
Deribit	1644412711649	257.296515	57.53214	244.511595	54.335910000000005
Deribit	1644412741756	257.20555	57.511799999999994	244.42515	54.316700000000004
Lyra	1644412748226	263	55	253	49
Lyra	1644412750832	263	55	253	49
Deribit	1644412771605	253.92618	57.49272	242.74704	55.895700000000005
Lyra	1644412777629	263	55	253	49
Deribit	1644412801657	253.97706	57.504239999999996	242.79567999999998	54.30956
Lyra	1644412805444	263	55	253	49
Deribit	1644412831657	253.876095	57.481379999999994	242.69915999999998	55.884675
Lyra	1644412835590	260	56	250	50
Deribit	1644412861670	254.205225	57.5559	243.0138	54.35835000000001
Lyra	1644412868099	260	56	250	50
Deribit	1644412891674	254.237025	57.56309999999999	243.0442	54.36515
Lyra	1644412895522	260	56	250	50
Deribit	1644412921615	254.24020499999997	57.56381999999999	243.04724	54.36583
Lyra	1644412927913	260	56	250	50
Deribit	1644412951635	254.48427	57.61908	243.28055999999998	52.81749
Lyra	1644412955461	260	56	250	50
Deribit	1644412981644	254.42862000000002	57.60648	243.22736	52.80594000000001
Lyra	1644412988080	263	54	253	48
Deribit	1644413011627	255.9856	57.596759999999996	243.18632	54.39694000000001
Lyra	1644413015402	263	54	253	48
Deribit	1644413041656	255.8344	57.56273999999999	243.04268	54.36481
Lyra	1644413045589	263	54	253	48
Deribit	1644413071710	255.6536	57.522059999999996	242.87092	54.32639
Lyra	1644413077861	263	54	253	48
Deribit	1644413101661	255.948	57.5883	243.1506	54.38895
Lyra	1644413108090	263	54	253	48
Deribit	1644413131606	255.72080000000003	59.135435	242.93476	54.34067000000001
Lyra	1644413135455	263	54	253	48
Deribit	1644413161624	255.7384	57.54114	242.95148	54.34441
Lyra	1644413168228	263	54	253	48
Deribit	1644413191635	255.7912	57.55302	243.00163999999998	54.355630000000005
Lyra	1644413197579	263	54	253	48
Deribit	1644413221689	255.9512	57.58901999999999	243.15364	54.389630000000004
Lyra	1644413227131	263	54	253	48
Deribit	1644413251660	255.9376	57.58595999999999	243.14072	54.38674
Lyra	1644413257495	263	54	253	48
Deribit	1644413281660	255.7648	57.547079999999994	242.97655999999998	54.35002
Lyra	1644413287968	263	55	254	49
Deribit	1644413311637	255.6816	57.52835999999999	242.89752	54.33234
Lyra	1644413318905	264	55	254	49
Deribit	1644413341634	255.76880000000003	57.547979999999995	242.98036	54.35087000000001
Lyra	1644413348094	264	55	254	49
Deribit	1644413371753	255.8784	57.57263999999999	243.08447999999999	54.37416
Lyra	1644413375428	264	55	254	49
Deribit	1644413401735	255.8912	57.57551999999999	243.09663999999998	54.37688
Lyra	1644413405542	264	55	254	49
